Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,rural,Drinking water,2015,25.6607,151226969.52125,Unimproved
who,Africa,urban,Drinking water,2015,5.94438,23370455.9916,Unimproved
who,Africa,total,Drinking water,2016,32.6801,329757889.87215,Basic service
who,Africa,rural,Drinking water,2016,33.55915,201323640.67231,Basic service
who,Africa,urban,Drinking water,2016,31.39118,128434250.7903,Basic service
who,Africa,total,Drinking water,2016,11.86471,119720650.60289,Limited service
who,Africa,rural,Drinking water,2016,15.01544,90078632.03464,Limited service
who,Africa,urban,Drinking water,2016,7.24494,29642019.31848,Limited service
who,Africa,total,Drinking water,2016,29.44574,297121670.47772,Safely managed service
who,Africa,rural,Drinking water,2016,12.64479,75856989.87384,Safely managed service
who,Africa,urban,Drinking water,2016,54.08028,221264680.96567,Safely managed service
who,Africa,total,Drinking water,2016,8.78811,88676215.39169,Surface water
who,Africa,rural,Drinking water,2016,13.70514,82218103.07119,Surface water
who,Africa,urban,Drinking water,2016,1.57846,6458113.03351,Surface water
who,Africa,total,Drinking water,2016,17.22134,173771604.95556,Unimproved
who,Africa,rural,Drinking water,2016,25.07548,150429501.12442,Unimproved
who,Africa,urban,Drinking water,2016,5.70515,23342101.54804,Unimproved
who,Africa,total,Drinking water,2017,32.82625,340129145.8276,Basic service
who,Africa,rural,Drinking water,2017,34.0502,207875158.60671,Basic service
who,Africa,urban,Drinking water,2017,31.07079,132253988.33985,Basic service
who,Africa,total,Drinking water,2017,11.98652,124198298.66393,Limited service
who,Africa,rural,Drinking water,2017,15.40641,94055519.51164,Limited service
who,Africa,urban,Drinking water,2017,7.08153,30142779.70352,Limited service
who,Africa,total,Drinking water,2017,30.30123,313966186.04136,Safely managed service
who,Africa,rural,Drinking water,2017,13.12946,80154863.15007,Safely managed service
who,Africa,urban,Drinking water,2017,54.92994,233811323.04516,Safely managed service
who,Africa,total,Drinking water,2017,8.20583,85024711.52434,Surface water
who,Africa,rural,Drinking water,2017,12.91835,78866053.31841,Surface water
who,Africa,urban,Drinking water,2017,1.44687,6158658.6981,Surface water
who,Africa,total,Drinking water,2017,16.68017,172831547.94276,Unimproved
who,Africa,rural,Drinking water,2017,24.49558,149544567.12016,Unimproved
who,Africa,urban,Drinking water,2017,5.47087,23286980.63036,Unimproved
who,Africa,total,Drinking water,2018,32.87973,349754953.96732,Basic service
who,Africa,rural,Drinking water,2018,34.48525,214174873.35999,Basic service
who,Africa,urban,Drinking water,2018,30.62723,135580081.05241,Basic service
who,Africa,total,Drinking water,2018,12.12093,128935258.6552,Limited service
who,Africa,rural,Drinking water,2018,15.81943,98248515.47831,Limited service
who,Africa,urban,Drinking water,2018,6.93207,30686742.79609,Limited service
who,Africa,total,Drinking water,2018,31.21736,332071659.0272,Safely managed service
who,Africa,rural,Drinking water,2018,13.61228,84540704.9017,Safely managed service
who,Africa,urban,Drinking water,2018,55.91669,247530957.89968,Safely managed service
who,Africa,total,Drinking water,2018,7.65496,81428879.74838,Surface water
who,Africa,rural,Drinking water,2018,12.17687,75625915.08301,Surface water
who,Africa,urban,Drinking water,2018,1.31088,5802964.04255,Surface water
who,Africa,total,Drinking water,2018,16.12702,171549640.60191,Unimproved
who,Africa,rural,Drinking water,2018,23.90617,148472221.07261,Unimproved
who,Africa,urban,Drinking water,2018,5.21314,23077418.25183,Unimproved
who,Africa,total,Drinking water,2019,33.08723,361232736.50088,Basic service
who,Africa,rural,Drinking water,2019,34.92691,220586423.80149,Basic service
who,Africa,urban,Drinking water,2019,30.56246,140646311.26817,Basic service
who,Africa,total,Drinking water,2019,12.25437,133788161.5155,Limited service
who,Africa,rural,Drinking water,2019,16.23105,102509792.15663,Limited service
who,Africa,urban,Drinking water,2019,6.79679,31278368.12484,Limited service
who,Africa,total,Drinking water,2019,31.97249,349062526.25622,Safely managed service
who,Africa,rural,Drinking water,2019,14.08778,88973586.35883,Safely managed service
who,Africa,urban,Drinking water,2019,56.51736,260088942.71219,Safely managed service
who,Africa,total,Drinking water,2019,7.1327,77871891.7702,Surface water
who,Africa,rural,Drinking water,2019,11.45769,72362860.64018,Surface water
who,Africa,urban,Drinking water,2019,1.19711,5509029.983,Surface water
who,Africa,total,Drinking water,2019,15.55321,169803544.95721,Unimproved
who,Africa,rural,Drinking water,2019,23.29657,147133201.14523,Unimproved
who,Africa,urban,Drinking water,2019,4.92627,22670345.2758,Unimproved
who,Africa,total,Drinking water,2020,33.52697,375556171.34637,Basic service
who,Africa,rural,Drinking water,2020,35.38996,227194322.51035,Basic service
who,Africa,urban,Drinking water,2020,31.02589,148361849.97029,Basic service
who,Africa,total,Drinking water,2020,12.36687,138528915.26287,Limited service
who,Africa,rural,Drinking water,2020,16.60633,106608299.97921,Limited service
who,Africa,urban,Drinking water,2020,6.67534,31920615.23438,Limited service
who,Africa,total,Drinking water,2020,32.36523,362542806.25098,Safely managed service
who,Africa,rural,Drinking water,2020,14.38232,92330780.83591,Safely managed service
who,Africa,urban,Drinking water,2020,56.50758,270212029.11052,Safely managed service
who,Africa,total,Drinking water,2020,6.6488,74477247.41195,Surface water
who,Africa,rural,Drinking water,2020,10.78617,69244398.91738,Surface water
who,Africa,urban,Drinking water,2020,1.09431,5232848.22457,Surface water
who,Africa,total,Drinking water,2020,15.09212,169056126.22783,Unimproved
who,Africa,rural,Drinking water,2020,22.83522,146596206.24015,Unimproved
who,Africa,urban,Drinking water,2020,4.69689,22459914.86776,Unimproved
who,Americas,total,Drinking water,2000,15.43204,127929897.93382,Basic service
who,Americas,rural,Drinking water,2000,35.32303,68081398.7772,Basic service
who,Americas,urban,Drinking water,2000,9.40645,59848497.96423,Basic service
who,Americas,total,Drinking water,2000,0.55171,4573594.31085,Limited service
who,Americas,rural,Drinking water,2000,1.65949,3198491.18433,Limited service
who,Americas,urban,Drinking water,2000,0.21613,1375103.09901,Limited service
who,Americas,total,Drinking water,2000,78.39885,649917632.72254,Safely managed service
who,Americas,rural,Drinking water,2000,45.12254,86968913.52717,Safely managed service
who,Americas,urban,Drinking water,2000,88.47926,562948707.84209,Safely managed service
who,Americas,total,Drinking water,2000,1.66441,13797761.08804,Surface water
who,Americas,rural,Drinking water,2000,6.27481,12094027.87136,Surface water
who,Americas,urban,Drinking water,2000,0.26778,1703733.18528,Surface water
who,Americas,total,Drinking water,2000,3.95299,32769883.94475,Unimproved
who,Americas,rural,Drinking water,2000,11.62013,22396572.18295,Unimproved
who,Americas,urban,Drinking water,2000,1.63039,10373328.54839,Unimproved
who,Americas,total,Drinking water,2001,15.51319,130239491.83513,Basic service
who,Americas,rural,Drinking water,2001,35.72092,68836554.19804,Basic service
who,Americas,urban,Drinking water,2001,9.49285,61402939.05097,Basic service
who,Americas,total,Drinking water,2001,0.53385,4481924.52615,Limited service
who,Americas,rural,Drinking water,2001,1.61143,3105332.23413,Limited service
who,Americas,urban,Drinking water,2001,0.21282,1376592.33686,Limited service
who,Americas,total,Drinking water,2001,78.5712,659636772.90437,Safely managed service
who,Americas,rural,Drinking water,2001,45.37523,87441041.13683,Safely managed service
who,Americas,urban,Drinking water,2001,88.46103,572195740.31285,Safely managed service
who,Americas,total,Drinking water,2001,1.61381,13548544.26067,Surface water
who,Americas,rural,Drinking water,2001,6.14255,11837094.85553,Surface water
who,Americas,urban,Drinking water,2001,0.26459,1711449.52748,Surface water
who,Americas,total,Drinking water,2001,3.76795,31633465.47452,Unimproved
who,Americas,rural,Drinking water,2001,11.14986,21486512.56548,Unimproved
who,Americas,urban,Drinking water,2001,1.56871,10146949.95084,Unimproved
who,Americas,total,Drinking water,2002,15.60661,132614390.60001,Basic service
who,Americas,rural,Drinking water,2002,36.12862,69647183.81518,Basic service
who,Americas,urban,Drinking water,2002,9.58468,62967206.32177,Basic service
who,Americas,total,Drinking water,2002,0.51318,4360696.86638,Limited service
who,Americas,rural,Drinking water,2002,1.55325,2994294.5915,Limited service
who,Americas,urban,Drinking water,2002,0.20799,1366402.27266,Limited service
who,Americas,total,Drinking water,2002,78.73375,669026057.23435,Safely managed service
who,Americas,rural,Drinking water,2002,45.6545,88010768.11903,Safely managed service
who,Americas,urban,Drinking water,2002,88.44044,581015282.10703,Safely managed service
who,Americas,total,Drinking water,2002,1.57827,13411092.84521,Surface water
who,Americas,rural,Drinking water,2002,6.0778,11716524.3347,Surface water
who,Americas,urban,Drinking water,2002,0.25794,1694568.5468,Surface water
who,Americas,total,Drinking water,2002,3.56819,30320029.4532,Unimproved
who,Americas,rural,Drinking water,2002,10.58583,20406903.44079,Unimproved
who,Americas,urban,Drinking water,2002,1.50895,9913130.79174,Unimproved
who,Americas,total,Drinking water,2003,15.70163,134983767.1798,Basic service
who,Americas,rural,Drinking water,2003,36.53572,70434788.11376,Basic service
who,Americas,urban,Drinking water,2003,9.67901,64548980.39956,Basic service
who,Americas,total,Drinking water,2003,0.49238,4232869.69695,Limited service
who,Americas,rural,Drinking water,2003,1.49288,2878023.15591,Limited service
who,Americas,urban,Drinking water,2003,0.20316,1354846.57313,Limited service
who,Americas,total,Drinking water,2003,78.89062,678206797.81929,Safely managed service
who,Americas,rural,Drinking water,2003,45.93225,88549720.36907,Safely managed service
who,Americas,urban,Drinking water,2003,88.41807,589657087.93759,Safely managed service
who,Americas,total,Drinking water,2003,1.52087,13074637.30734,Surface water
who,Americas,rural,Drinking water,2003,5.92182,11416282.75197,Surface water
who,Americas,urban,Drinking water,2003,0.24867,1658354.61917,Surface water
who,Americas,total,Drinking water,2003,3.3945,29181854.29663,Unimproved
who,Americas,rural,Drinking water,2003,10.11733,19504518.61549,Unimproved
who,Americas,urban,Drinking water,2003,1.4511,9677328.00454,Unimproved
who,Americas,total,Drinking water,2004,15.79524,137348571.48317,Basic service
who,Americas,rural,Drinking water,2004,36.93318,71205244.79259,Basic service
who,Americas,urban,Drinking water,2004,9.7735,66143327.56315,Basic service
who,Americas,total,Drinking water,2004,0.47292,4112316.00442,Limited service
who,Americas,rural,Drinking water,2004,1.43754,2771499.10766,Limited service
who,Americas,urban,Drinking water,2004,0.19812,1340816.93464,Limited service
who,Americas,total,Drinking water,2004,79.0424,687318687.39708,Safely managed service
who,Americas,rural,Drinking water,2004,46.2045,89079865.88693,Safely managed service
who,Americas,urban,Drinking water,2004,88.3972,598238820.97193,Safely managed service
who,Americas,total,Drinking water,2004,1.46476,12736889.7742,Surface water
who,Americas,rural,Drinking water,2004,5.76788,11120163.30078,Surface water
who,Americas,urban,Drinking water,2004,0.23889,1616726.63782,Surface water
who,Americas,total,Drinking water,2004,3.22469,28040517.34111,Unimproved
who,Americas,rural,Drinking water,2004,9.65691,18618029.68105,Unimproved
who,Americas,urban,Drinking water,2004,1.39229,9422484.83614,Unimproved
who,Americas,total,Drinking water,2005,15.80843,139033103.72748,Basic service
who,Americas,rural,Drinking water,2005,36.96867,71276956.73233,Basic service
